,filename, H,C,N,O,F,Cl,Br,V,Cu,Zn,Zr, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,largest_pore_diam1,largest_pore_diam2,density,ASA_unit_volume,ASA_unit_mass,helium void fraction,Henry Coef of propane,Henry Coef of propene,avg_loading_absolute_propane-1,avg_loading_absolute_propene-1,avg_loading_absolute_propane-0.1,avg_loading_absolute_propene-0.1,wc-propane,wc-propene,S-propane-1,S-propene-1,APS-propane,APS-propene
13,hMOF-5067142.cif,16,36,2,8,0,0,18,0,2,0,0,19.5,5.555555555555555,4.0,0.3414634146341463,1.059512195121951,0.25,5.23533,4.58384,2.44388,606.614,248.218,0.380869,0.0279793,0.0154201,0.6824987597,0.5395977256,0.6725314804,0.4403294614,0.009967279299999965,0.09926826419999996,1.267366808472992,0.7890375488094615,0.01263219895559987,0.07832638785893799
14,hMOF-5009758.cif,16,42,0,13,0,0,12,0,0,4,0,29.0,9.523809523809524,3.25,0.2873563218390804,0.9222988505747126,0.0,15.46035,13.21015,0.652469,1756.05,2691.39,0.804188,2.37662e-05,1.91541e-05,1.4615344373,1.1678525192,0.1203151813,0.0980543074,1.341219256,1.0697982118,1.25398292804783,0.7974590224739146,1.681866049793012,0.8531202362263699
15,hMOF-1002594.cif,40,46,0,10,0,0,0,2,0,0,0,27.0,4.347826086956522,5.0,0.1020408163265306,0.3510204081632653,0.0,6.97469,4.79306,1.04576,898.151,858.853,0.615535,0.0211855,0.028933,2.1147422785,2.6594729245,2.0743181926,2.3583105591,0.04042408590000024,0.3011623654000002,0.7967690350767328,1.255068854305683,0.03220865991640215,0.3779795049025678
16,hMOF-5070808.cif,18,66,6,24,12,0,0,0,6,0,0,50.5,9.090909090909092,4.0,0.3181818181818182,1.125454545454546,0.25,3.45071,2.353,1.70974,0.0,0.0,0.115084,2.62822e-18,1.64505e-14,0.0,0.0,0.0,0.0,0.0,0.0,,,,
17,hMOF-5025963.cif,40,72,8,46,0,0,0,0,0,8,0,51.0,11.11111111111111,5.75,0.3103448275862069,1.049195402298851,0.1739130434782608,5.81171,4.30633,1.11897,1090.1,974.203,0.457159,0.00545949,0.00276537,1.8619255311,1.4243131502,1.5832492401,0.9710564589,0.278676291,0.4532566912999999,1.309867588765826,0.7634359446531637,0.3650290413383737,0.3460324502929828
18,hMOF-7001332.cif,21,60,0,32,0,0,15,0,0,0,6,43.0,10.0,5.333333333333333,0.3507462686567164,1.152835820895523,0.0,6.4362,1.99828,2.36142,0.0,0.0,0.204476,0.00646369,0.00266274,0.2445963796,0.1347307383,0.2381790427,0.0982894323,0.006417336899999987,0.03644130600000002,1.819088833342653,0.5497257647184045,0.01167370589458773,0.02003272480818739
19,hMOF-34869.cif,8,32,2,8,0,0,10,0,2,0,0,23.5,6.25,4.0,0.3225806451612903,1.019354838709677,0.25,5.62894,4.68816,2.37339,919.389,387.374,0.554247,2.88926,0.944608,1.0700615489,0.6994684051,1.05493822,0.5821891369,0.01512332890000012,0.1172792682,1.532890841208214,0.6523621729071113,0.02318241235938968,0.07650855823990789
20,hMOF-26290.cif,14,100,4,16,0,0,34,0,0,4,0,76.0,4.0,4.0,0.313953488372093,0.975813953488372,0.25,4.10014,3.62744,2.44939,0.0,0.0,0.658795,0.373464,0.403105,0.653287719,1.3177727219,0.7323567457,1.0459694747,-0.07906902669999993,0.2718032472,0.4967462002471917,2.013100451502957,-0.03927723857046871,0.5471672396582901
21,hMOF-26359.cif,24,100,4,16,0,0,24,0,0,4,0,76.0,4.0,4.0,0.2558139534883721,0.8037209302325582,0.25,5.17027,3.7318,2.02048,669.814,331.512,0.625609,0.457378,0.265374,1.1339695736,1.1157001927,1.1716451267,0.9873537561,-0.03767555310000015,0.1283464366000001,1.018414248312056,0.9819187051412758,-0.03836932009007761,0.126025766835769
22,hMOF-32675.cif,12,28,4,16,0,0,12,0,4,0,0,16.0,14.28571428571428,4.0,0.4210526315789473,1.351578947368421,0.25,3.27166,1.87609,2.79087,0.0,0.0,0.0646484,4.77112e-28,5.51142e-22,0.0,0.0,0.0,0.0,0.0,0.0,,,,
