filename, H,C,N,O, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,largest_pore_diam1,largest_pore_diam2,density,ASA_unit_volume,ASA_unit_mass,helium void fraction,Henry Coef of propane,Henry Coef of propene,avg_loading_absolute_propane-1,avg_loading_absolute_propene-1,avg_loading_absolute_propane-0.1,avg_loading_absolute_propene-0.1,wc-propane,wc-propene,S-propane-1,S-propene-1,APS-propane,APS-propene
hMOF-5025963.cif,40,72,8,46,51,11.11111111,5.75,0.310344828,1.049195402,0.173913043,5.81171,4.30633,1.11897,1090.1,974.203,0.457159,0.00545949,0.00276537,1.861925531,1.42431315,1.58324924,0.971056459,0.278676291,0.453256691,1.309867589,0.763435945,0.365029041,0.34603245
hMOF-7001332.cif,21,60,0,32,43,10,5.333333333,0.350746269,1.152835821,0,6.4362,1.99828,2.36142,0,0,0.204476,0.00646369,0.00266274,0.24459638,0.134730738,0.238179043,0.098289432,0.006417337,0.036441306,1.819088833,0.549725765,0.011673706,0.020032725
hMOF-34869.cif,8,32,2,8,23.5,6.25,4,0.322580645,1.019354839,0.25,5.62894,4.68816,2.37339,919.389,387.374,0.554247,2.88926,0.944608,1.070061549,0.699468405,1.05493822,0.582189137,0.015123329,0.117279268,1.532890841,0.652362173,0.023182412,0.076508558
hMOF-26290.cif,14,100,4,16,76,4,4,0.313953488,0.975813953,0.25,4.10014,3.62744,2.44939,0,0,0.658795,0.373464,0.403105,0.653287719,1.317772722,0.732356746,1.045969475,-0.079069027,0.271803247,0.4967462,2.013100452,-0.039277239,0.54716724
hMOF-26359.cif,24,100,4,16,76,4,4,0.255813953,0.80372093,0.25,5.17027,3.7318,2.02048,669.814,331.512,0.625609,0.457378,0.265374,1.133969574,1.115700193,1.171645127,0.987353756,-0.037675553,0.128346437,1.018414248,0.981918705,-0.03836932,0.126025767
hMOF-32675.cif,12,28,4,16,16,14.28571429,4,0.421052632,1.351578947,0.25,3.27166,1.87609,2.79087,0,0,0.0646484,4.77E-28,5.51E-22,0,0,0,0,0,0,0,0,0,0
hMOF-5081382.cif,11,42,4,12,34,4.761904762,6,0.276315789,0.897894737,0.333333333,6.80511,4.46635,0.998435,2291.46,2295.06,0.774153,0.00231338,0.0018144,4.139169226,3.239690945,3.7262427,2.63093285,0.412926526,0.608758096,1.280206929,0.781123721,0.5286314,0.475515389
hMOF-5030900.cif,32,70,2,17,54.5,5.714285714,4.25,0.152,0.51648,0.117647059,20.41728,15.36098,0.203527,1194.38,5868.44,0.933669,0.000031815,0.00002697,1.616673051,1.409008266,0.161660335,0.135294906,1.455012716,1.27371336,1.149685968,0.869802735,1.672807703,1.107879365
hMOF-7000793.cif,36,80,0,32,50,7.5,5.333333333,0.322222222,1.039111111,0,7.14838,1.67018,2.47985,0,0,0.321647,0.173478,0.0626943,0.551865011,0.410320923,0.539280223,0.359727779,0.012584788,0.050593144,1.347658237,0.742027891,0.016959993,0.037541524
hMOF-5045817.cif,30,33,2,17,18.5,6.060606061,8.5,0.226190476,0.768571429,0.117647059,7.48921,4.90434,0.95597,1478.66,1546.76,0.456858,0.00019978,0.000126344,2.195233412,1.55357472,0.935611331,0.601790713,1.259622081,0.951784007,1.415856149,0.70628644,1.783443669,0.672232138
hMOF-12463.cif,22,80,0,26,61,10,3.25,0.285714286,0.95012987,0,3.69921,2.93052,2.04668,0,0,0.323368,1.02E-08,2.95E-07,0.000512607,0.010388832,8.30E-05,0.001020332,0.000429613,0.0093685,0.049441112,20.22608232,2.12E-05,0.18948805
hMOF-7002369.cif,26,86,2,36,61.5,6.976744186,6,0.344444444,1.116444444,0.055555556,11.05668,5.42502,1.66625,726.454,435.98,0.619183,0.00557095,0.002899,1.818563549,1.356225506,1.733785829,1.097489645,0.08477772,0.258735861,1.343591189,0.744274008,0.113906598,0.192570376
hMOF-5041543.cif,26,64,4,16,32,6.25,4,0.381578947,1.182105263,0.25,3.18657,1.44377,4.10038,0,0,0.0428802,1.14E-43,1.99E-30,0,0,0,0,0,0,0,0,0,0
hMOF-5047373.cif,60,88,4,16,58,4.545454545,4,0.11627907,0.390697674,0.25,6.3007,4.03351,0.740055,1569.51,2120.81,0.618889,0.00545759,0.00275809,3.986949926,2.856366244,3.374853494,2.042563607,0.612096432,0.813802638,1.398612683,0.714994231,0.856085833,0.581864191
hMOF-5081381.cif,8,42,4,12,34,4.761904762,6,0.315789474,1.014736842,0.333333333,6.48708,4.5048,1.34531,2385.44,1773.15,0.815059,0.57622,0.306811,2.91026438,2.483373646,2.819298493,2.062273684,0.090965888,0.421099962,1.174251028,0.851606664,0.106816787,0.358611534
hMOF-3239.cif,96,168,8,52,119,9.523809524,3.25,0.176470588,0.597647059,0.153846154,4.65943,3.91477,1.22711,632.273,515.253,0.488133,0.00375485,0.00380872,1.365073056,2.175480132,1.289457271,1.705193366,0.075615786,0.470286766,0.62874037,1.590481616,0.047542697,0.747982456
hMOF-7001765.cif,24,90,0,32,62,6.666666667,5.333333333,0.35483871,1.132903226,0,12.22808,4.62653,1.39498,1575.83,1129.64,0.687713,0.00129212,0.000763856,2.390984993,1.812625629,1.447359374,0.935246532,0.94362562,0.877379097,1.32171953,0.756590167,1.24720841,0.663816398
hMOF-3001675.cif,96,116,16,118,65,13.79310345,7.375,0.370165746,1.255690608,0.13559322,8.46386,5.54147,0.742412,2657.5,3579.55,0.67369,9.01E-05,6.49E-05,4.368254523,3.207786079,0.487920911,0.354311533,3.880333612,2.853474546,1.364498649,0.732869909,5.294709971,2.091225629
hMOF-5030675.cif,15,80,4,21,64,5,5.25,0.29787234,0.955460993,0.19047619,21.83683,21.07704,0.498905,1696.99,3401.43,0.906334,0.000139909,0.000100722,3.877905964,2.936157169,0.680881992,0.501140034,3.197023972,2.435017135,1.32339213,0.755633933,4.230916363,1.839981575
hMOF-1004651.cif,28,98,20,32,80,6.12244898,5.333333333,0.282608696,0.928695652,0.625,6.34447,3.60792,1.48885,0,0,0.394059,0.0152048,0.00777143,0.952910013,1.090277165,0.813037685,0.645829466,0.139872328,0.444447699,0.875760892,1.141864188,0.122494715,0.507498911
hMOF-5052508.cif,44,54,6,18,31.5,3.703703704,9,0.193548387,0.646451613,0.333333333,10.01422,7.87768,0.738922,1838.67,2488.32,0.689094,0.00231742,0.00139994,5.112516484,3.698379111,2.864192841,1.830596331,2.248323642,1.86778278,1.385140625,0.721948358,3.114244414,1.348442711
hMOF-5064282.cif,8,56,4,16,44,7.142857143,4,0.346153846,1.101538462,0.25,5.02026,3.57478,1.35564,0,0,0.542313,0.00016503,0.000154076,1.340091145,1.483424315,0.625365638,0.591770921,0.714725507,0.891653395,0.90518952,1.104741027,0.646962038,0.985046088
